Trip ID,Destination,Trip Name,Description,Trip Category,Duration,Price Adult,Price Child,Included in Price,Not Included,Start Date,End Date,Available Spots,Tour Guide,Group Size,Meeting Point,Departure Time,Return Time,Rating,Reviews Count,Photo URL,Contact Email,Contact Phone,What to Bring,Trip Difficulty,Languages Available,Age Restrictions,Transportation Type,Meals Included,Cancellation Policy,Accessibility,Special Offers,Trip Schedule
Trip002,الاقصر,جولة المعبد,اكتشف معبد Luxor المجلس ، وهو تحفة مصرية قديمة مضاءة بشكل جميل في الليل. المشي عبر الكولونيز الكبرى ، والتماثيل الشاهقة ، والهيروغليفية المعقدة التي تكشف عن إرث الفراعنة. تكشف هذه الجولة الموجهة عن تاريخ المعبد العميق ، بما في ذلك علاقتها بـ Karnak ومهرجان Opet. لا بد من زيارة في قلب الكمور!,الأسرة ، الأزواج ، indeviduals ، مجموعة,6 ساعات,15,8.0,النقل ، الدليل ، رسوم الدخول ، وجبات,المشروبات ، التسوق ، نصائح توجيه ،,3/2/2025,3/2/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,6:00 مساءً,4.5/5,40,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,سهل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الخميس
Trip003,الغردقه,مغامرة الغوص,الشروع في مغامرة هورغادا الغطس مثيرة ، واستكشاف الشعاب المرجانية النابضة بالحياة في البحر الأحمر. قم بالسباحة إلى جانب الحياة البحرية الملونة في مياه الكريستال المتوسطة في أعلى المواقع مثل جزيرة هدايا أو دلفين هاوس. استمتع برحلة قارب مريحة مع غداء جديد ومشروبات منعشة على متن الطائرة. مثالي لجميع مستويات المهارات التي تسعى للحصول على تجربة لا تُنسى تحت الماء!,الأسرة ، الأزواج ، indeviduals ، مجموعة,7 ساعات,14,9.0,النقل ، الدليل ، المعدات ، وجبات الطعام,المشروبات ، التسوق ، نصائح توجيه ،,3/1/2025,3/1/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,4:00 مساءً,4.7/5,35,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,معتدل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 5 ٪ على مجموعات من 4 أو أكثر,الاثنين ، الثلاثاء ، الخميس
Trip005,الاقصر,جولة وادي الملوك,استكشف الوادي الأسطوري للملوك في الكمور ، حيث يستريح الفراعنة القدامى ، بما في ذلك توتخ آمون ، في المقابر المزينة بشكل مذهل. تسير عبر التاريخ وأنت معجب به من الهيروغليفية المعقدة وغرف الدفن المحفوظة جيدًا. سوف يكشف دليل الخبراء الخاص بك عن أسرار موقع التراث العالمي لليونسكو. يجب أن نرى لمحبي التاريخ والآثار!,الأسرة ، الأزواج ، indeviduals ، مجموعة,6 ساعات,20,11.0,النقل ، الدليل ، المعدات ، وجبات الطعام,المشروبات ، التسوق ، نصائح توجيه ،,3/1/2025,3/1/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,4:00 مساءً,4.7/6,40,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,معتدل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,الاثنين ، الثلاثاء ، الخميس
Trip006,الاقصر,جولة Karnak و Luxor Texples,اكتشف معابد كارناك والرفاهية المذهلة في هذه الجولة المصحوبة بمرشدين من خلال أكثر المواقع المصرية القديمة. تتجول من خلال مجمع Karnak â â â ã ‘s temple الشاسع ، الذي يضم أعمدة شاهقة وأمراض مقدسة ، ثم استكشف معبد الكمور المضيء بشكل جميل. تعرف على الفراعنة والآلهة والطقوس التي شكلت هذه المعالم الرائعة. رحلة عبر التاريخ لن تنسى!,الأسرة ، الأزواج ، indeviduals ، مجموعة,6 ساعات,18,11.0,النقل ، الدليل ، رسوم الدخول ، وجبات,المشروبات ، التسوق ، نصائح توجيه ،,3/2/2025,3/2/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,6:00 مساءً,4.5/6,41,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,سهل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الخميس
Trip007,الاقصر,معبد Hatshepsut وجولة الضفة الغربية,خطوة إلى عالم الفراعنة في هذه الجولة المثيرة معبد Hatshepsut وجولة الضفة الغربية! Marvel في معبد Cliffside المذهل لأقوى ملكة ، ثم استكشف كولوسي من Memnon والكنوز الخفية للضفة الغربية. المشي من خلال المقابر القديمة ، وسماع القصص الرائعة ، ونقع في وجهات النظر الصحراوية لالتقاط الأنفاس. التاريخ لم يكن هذا متعة!,الأسرة ، الأزواج ، indeviduals ، مجموعة,6 ساعات,20,11.0,النقل ، الدليل ، المعدات ، وجبات الطعام,المشروبات ، التسوق ، نصائح توجيه ،,3/1/2025,3/1/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,4:00 مساءً,4.7/6,42,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,معتدل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,الاثنين ، الثلاثاء ، الجمعة
Trip008,الاقصر,جولة معابد دندرا وأبيدوس,رحلة العودة في الوقت المناسب في جولة Dendera & Abydos Texples ، واستكشاف اثنين من المواقع القديمة المذهلة! تعجب من معبد هاثور في دندرا ، مع سقفه النابض بالحياة والمنحوتات البروجية ، ثم اكتشف أسرار أبيدوس ، موطن معبد سيتي الأول والأوزري المقدس. مغامرة مثالية لمحبي التاريخ والمستكشفين!,الأسرة ، الأزواج ، indeviduals ، مجموعة,8 ساعات,25,12.0,النقل ، الدليل ، رسوم الدخول ، وجبات,المشروبات ، التسوق ، نصائح توجيه ،,3/2/2025,3/2/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,6:00 مساءً,4.5/6,43,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,سهل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الخميس
Trip009,الاقصر,جولة معابد إيدفو وكومو أمبو,الشروع في جولة معابد Edfu & Kom Ombo المثيرة ، وزيارة اثنين من أكثر المعابد المذهلة! استكشف معبد حورس ، أحد أفضل المعابد المحفوظة ، مع الجدران الشاهقة والمنحوتات الأسطورية. ثم ، توجه إلى Kom Ombo ، وهو معبد مزدوج فريد مخصص لـ Sobek & Horus ، ويوفر مناظر خلابة في النيل. لا بد من عدم وجود عشاق التاريخ والمغامرة!,الأسرة ، الأزواج ، indeviduals ، مجموعة,8 ساعات,26,15.0,النقل ، الدليل ، المعدات ، وجبات الطعام,المشروبات ، التسوق ، نصائح توجيه ،,3/1/2025,3/1/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,4:00 مساءً,4.7/7,44,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,معتدل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الخميس
Trip010,الاقصر,بالون الهواء الساخن ركوب على الرفرف,ترتفع فوق العجائب القديمة على بالون الهواء الساخن لالتقاط الأنفاس فوق الكمور! شاهد شروق الشمس فوق وادي الملوك ، ومعبد كارناك ، والنيل ، بينما يستحم الضوء الذهبي المناظر الطبيعية الصحراوية. التقاط مناظر جوية مذهلة من الكنوز الخالدة في هذه المغامرة التي كانت في العمر. تجربة سحرية لا تنساها أبدًا!,الأسرة ، الأزواج ، indeviduals ، مجموعة,4 ساعات,50,32.0,النقل ، الدليل ، رسوم الدخول ، وجبات,المشروبات ، التسوق ، نصائح توجيه ،,3/2/2025,3/2/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,6:00 مساءً,4.5/7,45,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,سهل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الجمعة
Trip011,الاقصر,نهر النيل كروز,أبحر في رحلة بحرية نهر النيل ، حيث يجتمع التاريخ والرفاهية في الممر المائي الأسطوري المصري! انجرفت مع المعابد القديمة ، وضربات النهر المورقة ، والقرى الساحرة مع الاستمتاع بالراحة العالمية. استكشف المواقع الأيقونية مثل Karnak و Luxor و Edfu و Aswan ، مع جولات موجهة الخبراء في كل محطة. طريقة مريحة ولا تنسى لتجربة مصر!,الأسرة ، الأزواج ، indeviduals ، مجموعة,3 أيام,33,19.0,النقل ، الدليل ، المعدات ، وجبات الطعام,المشروبات ، التسوق ، نصائح توجيه ،,3/1/2025,3/1/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,4:00 مساءً,4.7/7,46,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,معتدل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الخميس
Trip012,الاقصر,نهري نهر النيل,استرخ واسترخ على ركوب نهر النيل التقليدي فيلوكا ، يبحر بسلام على طول نهر مصر الأكثر شهرة. اشعر بالنسيم اللطيف وأنت تنزلق من المناظر الطبيعية المورقة والمعابد القديمة وغروب الشمس المذهل. مثالي للهروب الرومانسي أو استراحة هادئة من الزحام. تجربة خالدة لا تريد تفويتها!,الأسرة ، الأزواج ، indeviduals ، مجموعة,3 ساعات,12,9.0,النقل ، الدليل ، رسوم الدخول ، وجبات,المشروبات ، التسوق ، نصائح توجيه ،,3/2/2025,3/2/2025,20,جون دو - عالم المصريات المرخص,10-20 الناس,ردهة الفندق,9:00 صباحا,6:00 مساءً,4.5/7,47,صورة,info@egypttrips.com,+20 123 456 789,منشفة ، أشعة الشمس ، نقدًا ، مشى المشي,سهل,الإنجليزية ، الفرنسية ، الألمانية ، العربية ، الروسية ، البولندية ،,2-70 سنة,حافلة ، من القارب,الغداء ، الوجبات الخفيفة,الإلغاء المجاني في غضون 24 ساعة,كرسي متحرك يمكن الوصول إليه,خصم 10 ٪ على مجموعات من 4 أو أكثر,أيام الاثنين ، الثلاثاء ، الخميس
