Trip ID,Destination,Trip Name,Description,Trip Category,Duration,Price Adult,Price Child,Included in Price,Not Included,Start Date,End Date,Available Spots,Tour Guide,Group Size,Meeting Point,Departure Time,Return Time,Rating,Reviews Count,Photo URL,Contact Email,Contact Phone,What to Bring,Trip Difficulty,Languages Available,Age Restrictions,Transportation Type,Meals Included,Cancellation Policy,Accessibility,Special Offers,Trip Schedule
Trip002,Luksor,Tour Temple,"Odkryj majestatyczną świątynię Luksor, starożytne egipskie arcydzieło pięknie oświetlone w nocy. Spaceruj przez Grand Colonnades, wysokie posągi i misterne hieroglify, które ujawniają dziedzictwo faraonów. Ta wycieczka z przewodnikiem zaprezentuje głęboką historię świątyni, w tym jej związek z Karnakem i Festiwalem Opet. MUSZĄ wizytę w sercu Luksora!","Rodzina, pary, IndeviDuals, grupa",6 godzin,15,8,"Transport, przewodnik, opłaty za wstęp, posiłki","Napoje, zakupy, wskazówki przewodników,",2/2/2025,2/2/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,18:00,4.5/5,40,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Łatwy,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartki"
Trip003,Hurghada,Przygoda z rurką,"Wyrusz w ekscytującą przygodę z rurką Hurghada, odkrywając tętniące życiem rafy koralowe Morza Czerwonego. Płyń obok kolorowego życia morskiego w krystalicznie czystych wodach w górnych miejscach, takich jak Diftun Island lub Dolphin House. Ciesz się relaksującą wycieczkę łodzią ze świeżym lunchem i orzeźwiającymi napojami na pokładzie. Idealny dla wszystkich poziomów umiejętności poszukujących niezapomnianego podwodnego doświadczenia!","Rodzina, pary, IndeviDuals, grupa",7 godzin,14,9,"Transport, przewodnik, sprzęt, posiłki","Napoje, zakupy, wskazówki przewodników,",3/1/2025,3/1/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,16:00,4.7/5,35,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Umiarkowany,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,5% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartek"
Trip005,Luksor,Dolina Kings Tour,"Poznaj legendarną dolinę królów w Luksorze, gdzie starożytni faraonowie, w tym Tutanchhamun, spoczywają w oszałamiająco zdobionych grobowcach. Przejdź przez historię, podziwiając misterne hieroglify i dobrze zachowane komory pochówku. Twój przewodnik ekspertów ujawni tajemnice tej witryny światowego dziedzictwa UNESCO. MUSZĄ zobaczyć miłośników historii i archeologii!","Rodzina, pary, IndeviDuals, grupa",6 godzin,20,11,"Transport, przewodnik, sprzęt, posiłki","Napoje, zakupy, wskazówki przewodników,",3/1/2025,3/1/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,16:00,4.7/6,40,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Umiarkowany,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartek"
Trip006,Luksor,Wycieczka Karnak i Luksor Temples,"Odkryj niesamowite świątynie Karnak i Luksor podczas tej wycieczki z przewodnikiem przez najbardziej kultowe miejsca starożytnego Egiptu. Wędruj przez rozległy kompleks świątynny Karnaka, z wysokimi kolumnami i świętymi obelisami, a następnie odkrywaj pięknie oświetloną świątynię Luksor. Dowiedz się o faraonach, bogach i rytuałach, które ukształtowały te wspaniałe punkty orientacyjne. Podróż przez historię nie zapomnisz!","Rodzina, pary, IndeviDuals, grupa",6 godzin,18,11,"Transport, przewodnik, opłaty za wstęp, posiłki","Napoje, zakupy, wskazówki przewodników,",2/2/2025,2/2/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,18:00,4.5/6,41,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Łatwy,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartki"
Trip007,Luksor,Trasa świątyni Hatshepsut i Zachodniego Brzegu,"Wejdź do świata faraonów podczas tej ekscytującej trasy Hatshepsut Temple & West Bank! Załóż się oszałamiającej świątyni klifu najpotężniejszej egipskiej królowej, a następnie odkrywaj kolosy Memnon i ukryte skarby Zachodniego Brzegu. Spaceruj przez starożytne grobowce, usłyszaj fascynujące historie i zanurz zapierając dech w piersiach pustyni. Historia nigdy nie była tak zabawna!","Rodzina, pary, IndeviDuals, grupa",6 godzin,20,11,"Transport, przewodnik, sprzęt, posiłki","Napoje, zakupy, wskazówki przewodników,",3/1/2025,3/1/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,16:00,4.7/6,42,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Umiarkowany,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, piątek"
Trip008,Luksor,Trasa Dendena i Abidos,"Podróżuj w czasie trasą świątyń Dendena i Abidos, badając dwa najbardziej zapierające dech w piersiach egiptowe starożytne miejsca! Załóż się do świątyni Hathor w Denderze, z jej żywym sufitem i rzeźbami zodiakowymi, a następnie odkryj tajemnice Abidos, domem dla świątyni Seti I i Świętego Ozyrionu. Idealna przygoda dla miłośników historii i odkrywców!","Rodzina, pary, IndeviDuals, grupa",8 godzin,25,12,"Transport, przewodnik, opłaty za wstęp, posiłki","Napoje, zakupy, wskazówki przewodników,",2/2/2025,2/2/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,18:00,4.5/6,43,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Łatwy,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartki"
Trip009,Luksor,Wycieczka świątyń Edfu i Kom Ombo,"Wyrusz na ekscytującą trasę świątyń Edfu i Kom Ombo, odwiedzając dwie najbardziej fascynujące świątynie Egiptu! Odkryj świątynię Horusa Edfu, jedną z najlepiej zachowanych świątyń, z wysokimi ścianami i mitycznymi rzeźbami. Następnie udaj się do Kom Ombo, unikalnej podwójnej świątyni poświęconej Sobekowi i Horusowi, oferującym oszałamiające widoki Nile. Musznik dla miłośników historii i przygód!","Rodzina, pary, IndeviDuals, grupa",8 godzin,26,15,"Transport, przewodnik, sprzęt, posiłki","Napoje, zakupy, wskazówki przewodników,",3/1/2025,3/1/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,16:00,4.7/7,44,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Umiarkowany,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartki"
Trip010,Luksor,Balon na gorące powietrze nad Luksorem,"Szybko nad starożytnymi cudami podczas zapierającej dech w piersiach balonu na gorące powietrze nad Luksorem! Obserwuj wschód słońca nad doliną królów, świątynią Karnaka i Nilu, gdy złote światło kąpie pustynne krajobraz. Uchwyć oszałamiające widoki na ponadczasowe skarby egipskie na tę przygodę raz w życiu. Magiczne doświadczenie, którego nigdy nie zapomnisz!","Rodzina, pary, IndeviDuals, grupa",4 godziny,50,32,"Transport, przewodnik, opłaty za wstęp, posiłki","Napoje, zakupy, wskazówki przewodników,",2/2/2025,2/2/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,18:00,4.5/7,45,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Łatwy,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, piątki"
Trip011,Luksor,Nile River Cruise,"Wypłynij na rejs do rzeki Nile, gdzie historia i luksus spotykają się na legendarnej drogi wodnej Egiptu! Dryfuj obok starożytnych świątyń, bujnych brzegów rzek i uroczych wiosek, jednocześnie ciesząc się światowej klasy komfortem. Przeglądaj kultowe strony, takie jak Karnak, Luksor, Edfu i Aswan, z trasami ekspertów na każdym przystanku. Relaksujący i niezapomniany sposób doświadczenia Egiptu!","Rodzina, pary, IndeviDuals, grupa",3 dni,33,19,"Transport, przewodnik, sprzęt, posiłki","Napoje, zakupy, wskazówki przewodników,",3/1/2025,3/1/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,16:00,4.7/7,46,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Umiarkowany,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartki"
Trip012,Luksor,Nile River Rivers,"Zrelaksuj się i relaksuj na tradycyjnej jeździe Nilu Felucca, żeglując spokojnie wzdłuż najbardziej kultowej rzeki Egiptu. Poczuj delikatną bryzę, gdy przesuwasz obok bujnych krajobrazów, starożytnych świątyń i oszałamiających zachodów słońca. Idealny na romantyczną ucieczkę lub spokojną przerwę od zgiełku. Ponadczasowe doświadczenie, które nie chcesz przegapić!","Rodzina, pary, IndeviDuals, grupa",3 godziny,12,9,"Transport, przewodnik, opłaty za wstęp, posiłki","Napoje, zakupy, wskazówki przewodników,",2/2/2025,2/2/2025,20,John Doe - licencjonowany egiptolog,10-20 osób,Lobby hotelowe,9:00,18:00,4.5/7,47,Zdjęcie,info@egypttrips.com,+20 123 456 789,"Ręcznik, Suncream, gotówka, ustalenie spacerów",Łatwy,"Angielski, francuski, niemiecki, arabski, rosyjski., Polski,",2-70 lat,Autobus z łodzi,"Lunch, przekąski",Bezpłatne anulowanie w ciągu 24 godzin,Dostępny wózek inwalidzki,10% zniżki dla grup 4 lub więcej,"Poniedziałki, wtorki, czwartki"
