Trip ID,Destination,Trip Name,Description,Trip Category,Duration,Price Adult,Price Child,Included in Price,Not Included,Start Date,End Date,Available Spots,Tour Guide,Group Size,Meeting Point,Departure Time,Return Time,Rating,Reviews Count,Photo URL,Contact Email,Contact Phone,What to Bring,Trip Difficulty,Languages Available,Age Restrictions,Transportation Type,Meals Included,Cancellation Policy,Accessibility,Special Offers,Trip Schedule
Trip002,Луксор,Храмовый тур,"Откройте для себя величественный Храм Луксора, древнийгипетский шедевр, прекрасно освещенный ночью. Пройдите по Большому Колоннадам, возвышающимся статуям и сложным иероглифам, которые раскрывают наследие фараонов. Эта экскурсия с гидом раскрывает глубокую историю Темпа, включая ее связь с Карнаком и Фестивалем Опета. Обязательно посещать в самом сердце Луксора!","Семья, пары, невидимые, группа",6 часов,15,8.0,"Транспорт, гид, входные сборы, еда","Напитки, покупки, советы по гидам,",2/2/2025,2/2/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,18:00,4.5/5,40,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Легкий,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверга"
Trip003,Хургада,Приключение для подводного плавания,"Начните захватывающее приключение для сноркелинга Хургады, исследуя яркие коралловые рифы Красного моря. Плавайте вместе с красочной морской жизнью в кристально чистых водах в лучших местах, таких как остров подарок или доусед. Наслаждайтесь расслабляющей поездкой на лодке со свежим обедом и освежающими напитками на борту. Идеально подходит для всех уровней квалификации, ищущих незабываемого подводного опыта!","Семья, пары, невидимые, группа",7 часов,14,9.0,"Транспорт, гид, оборудование, еда","Напитки, покупки, советы по гидам,",1/1/2025,1/1/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,16:00,4.7/5,35,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Умеренный,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 5% для групп из 4 или более,"Понедельник, вторник, четверг"
Trip005,Луксор,Tour Valley of the Kings,"Исследуйте легендарную долину королей в Луксоре, где древние фараоны, в том числе Тутанхамон, отдыхают в потрясающе украшенных гробницах. Продолжайте историю, когда вы восхищаетесь сложными иероглифами и хорошо сохранившимися захоронениями. Ваше экспертное руководство покажет секреты этого сайта всемирного наследия ЮНЕСКО. Обязательно посетить любителей истории и археологии!","Семья, пары, невидимые, группа",6 часов,20,11.0,"Транспорт, гид, оборудование, еда","Напитки, покупки, советы по гидам,",1/1/2025,1/1/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,16:00,4.7/6,40,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Умеренный,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверг"
Trip006,Луксор,Карнак и люксорные храмы тур,"Откройте для себя впечатляющие храмы Карнака и Луксора в этой экскурсии по самым знаковым участкам Древнего Египта. Пробейте по обширному храмовому комплексу Карнака с высокими колоннами и священными обелисками, а затем исследуйте красиво освещенный люксорный храм. Узнайте о фараонах, богах и ритуалах, которые сформировали эти великолепные достопримечательности. Путешествие по истории, которое вы не забываете!","Семья, пары, невидимые, группа",6 часов,18,11.0,"Транспорт, гид, входные сборы, еда","Напитки, покупки, советы по гидам,",2/2/2025,2/2/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,18:00,4.5/6,41,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Легкий,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверга"
Trip007,Луксор,Hatshepsut Temple и West Bank Tour,"Зайдите в мир фараонов в этом захватывающем туре Hatshepsut Temple & West Bank! Marvel в потрясающем храме Слиффса в Египте самой могущественной королевы, а затем исследуйте Колосси Мемнона и скрытые сокровища Западного берега. Пройти через древние гробницы, услышать увлекательные истории и впитать дух дух пустынных видов. История никогда не была таким веселым!","Семья, пары, невидимые, группа",6 часов,20,11.0,"Транспорт, гид, оборудование, еда","Напитки, покупки, советы по гидам,",1/1/2025,1/1/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,16:00,4.7/6,42,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Умеренный,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, пятница"
Trip008,Луксор,Тур храмов Дендеры и Абидоса,"Путешествие во времени в туре по храмах Дендеры и Абидоса, исследуя два из самых захватывающих дух древних мест Египта! Чудитесь в храме Хатор в Дендере, с его ярким потолком и резьбой зодиака, затем раскрыть тайны Абидоса, где проживает храм Сети I и Священного Осириона. Идеальное приключение для любителей истории и исследователей!","Семья, пары, невидимые, группа",8 часов,25,12.0,"Транспорт, гид, входные сборы, еда","Напитки, покупки, советы по гидам,",2/2/2025,2/2/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,18:00,4.5/6,43,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Легкий,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверга"
Trip009,Луксор,Эдфу и Kom Ombo Tarms Tour,"Приступите к захватывающему туру «Эдфу и Ком Омбо», посетив два из самых захватывающих храмов Египта! Исследуйте Храм Эдфу-Храма Гора, одного из наиболее сохранившихся храмов, с высокими стенами и мифическими резьбами. Затем отправляйтесь в Kom Ombo, уникальный двойной храм, посвященный Sobek & Horus, предлагая потрясающие виды Нила. Обязательно для любителей истории и приключений!","Семья, пары, невидимые, группа",8 часов,26,15.0,"Транспорт, гид, оборудование, еда","Напитки, покупки, советы по гидам,",1/1/2025,1/1/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,16:00,4.7/7,44,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Умеренный,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверга"
Trip010,Луксор,Поездка на воздушный воздушный шарик по Луксору,"Вырастать над древними чудесами на захватывающей дух на воздушном воздушном шаре над Луксором! Наблюдайте за восходом восхода над долиной королей, храма Карнак и Нила, когда золотой свет купает ландшафт пустыни. Захватить потрясающие виды на аэрофотоснимки на вечные сокровища Египта в этом приключении раз в жизни. Волшебный опыт, который вы никогда не забудете!","Семья, пары, невидимые, группа",4 часа,50,32.0,"Транспорт, гид, входные сборы, еда","Напитки, покупки, советы по гидам,",2/2/2025,2/2/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,18:00,4.5/7,45,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Легкий,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, пятница"
Trip011,Луксор,Нил -Ривер Круиз,"Сделайте плавание в круиз по реке Нил, где история и роскошь встречаются на легендарном водном пути Египта! Дрейфуйте мимо древних храмов, пышных берегов рек и очаровательных деревень, наслаждаясь комфортом мирового класса. Исследуйте культовые сайты, такие как Карнак, Луксор, Эдфу и Асуан, с экспериментальными экскурсиями на каждой остановке. Расслабляющий и незабываемый способ испытать Египет!","Семья, пары, невидимые, группа",3 дня,33,19.0,"Транспорт, гид, оборудование, еда","Напитки, покупки, советы по гидам,",1/1/2025,1/1/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,16:00,4.7/7,46,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Умеренный,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверга"
Trip012,Луксор,Нил Ривер Риверс,"Расслабьтесь и расслабьтесь на традиционной поездке на реке Нил -Ривер Фелукка, мирно плывшим вдоль самой знаковой реки Египта. Почувствуйте нежный ветерок, когда вы скользите мимо пышных пейзажей, древних храмов и потрясающих закатов. Идеально подходит для романтического побега или спокойного перерыва от суеты. Вечный опыт, который вы не хотите пропустить!","Семья, пары, невидимые, группа",3 часа,12,9.0,"Транспорт, гид, входные сборы, еда","Напитки, покупки, советы по гидам,",2/2/2025,2/2/2025,20,Джон Доу - лицензированный египтолог,10-20 человек,Лобби отеля,9:00 утра,18:00,4.5/7,47,Картина,info@egypttrips.com,+20 123 456 789,"полотенце, солнцезащитный крем, наличные, ходьба",Легкий,"Английский, французский, немецкий, арабский, русский., Польский,",2-70 лет,"Автобус, с лодки","Обед, закуски",Бесплатная отмена в течение 24 часов,Коляска доступна,Скидка 10% для групп из 4 или более,"Понедельник, вторник, четверга"
